risk_rank,unique_work_number,state,constituency,mp_name,work_category,work_name,sanction_amount,date_of_administrative_approval,expected_completion_date,implementing_agency_name,work_status,peer_median,peer_count,peer_baseline,cost_deviation_pct,cost_risk,contractor_peer_count,contractor_project_count,contractor_concentration,contractor_risk,similar_project_id,similar_project_name,text_similarity,text_similarity_risk,cost_contribution,contractor_contribution,text_similarity_contribution,risk_score,risk_band,anomaly_score,anomaly_flag,top_risk_signal,risk_explanation,rf_anomaly_probability,rf_anomaly_prediction
231,WS/87777/2023/00832,Maharashtra,HINGOLI,RAJESH KUMAR SHARMA,School Building Repair,"Construction of additional classroom at Subhash Nagar school, HINGOLI",651486.03,2023-05-24,2023-09-21,United Rural Builders,New Recommendation,1134959.65,5,constituency + work_category,-42.598309111693965,0.0,5,2,0.4,40.0,WS/33659/2024/00720,"Construction of additional classroom at Subhash Nagar school, AURANGABAD_MH",0.9242110567095049,92.42110567095048,0.0,12.0,23.10527641773762,35.10527641773762,Medium,91.70879676440849,True,Text Similarity,Project description has 0.92 semantic similarity with project WS/33659/2024/00720.,4.852431478760344,0
232,WS/39591/2024/00845,Kerala,ERNAKULAM,ABHAY KUMAR SINHA,Community Hall,"Construction of community hall at Nehru Path, ERNAKULAM",3100443.72,2024-04-06,2024-11-22,Bharat Infra Solutions,Ongoing,2323014.515,12,constituency + work_category,33.46639463421519,11.15546487807173,12,3,0.25,25.0,WS/45358/2023/00224,"Construction of community hall at Ram Nagar, ERNAKULAM",0.9030530415349847,90.30530415349847,5.019959195132278,7.5,22.576326038374617,35.0962852335069,Medium,74.01415571284126,False,Text Similarity,Project description has 0.90 semantic similarity with project WS/45358/2023/00224.,5.673601329658364,0
233,WS/18300/2025/00254,Uttar Pradesh,BADAUN,ABHAY KUMAR SINHA,Water Supply / Handpump,"Installation of handpump at Station Road village, BADAUN",880505.2,2025-01-10,2026-02-14,Deep Construction Co.,New Recommendation,719185.46,9,constituency + work_category,22.430895641299532,7.476965213766511,9,3,0.3333333333333333,33.33333333333333,WS/27984/2025/00270,"Installation of handpump at Kisan Nagar village, BADAUN",0.8689963042443314,86.89963042443314,3.36463434619493,9.999999999999998,21.724907606108285,35.089541952303215,Medium,92.61880687563195,True,Text Similarity,Project description has 0.87 semantic similarity with project WS/27984/2025/00270.,4.82609039806123,0
234,WS/29441/2024/00284,Jammu And Kashmir,JAMMU,ADV GOWAAL KAGADA PADAVI,Solar Light Installation,"Solar light installation near Ram Nagar hanuman mandir, JAMMU",346646.68,2024-12-08,2025-02-26,Ganesh Engineering Works,New Recommendation,261967.02,5,constituency + work_category,32.32454986127644,10.774849953758812,5,1,0.2,20.0,WS/67870/2024/00697,"Solar light installation near Station Road hanuman mandir, JAMMU",0.9687790964382897,96.87790964382897,4.848682479191465,6.0,24.219477410957243,35.068159890148706,Medium,37.8159757330637,False,Text Similarity,Project description has 0.97 semantic similarity with project WS/67870/2024/00697.,4.497118007581545,0
235,WS/57948/2024/00390,Uttar Pradesh,KANPUR,ADITYA YADAV,Road Construction,"CC road construction at Subhash Nagar ward, KANPUR",1737709.8,2024-10-08,2025-09-09,Metro Civil Works Pvt Ltd,Ongoing,1592765.25,6,constituency + work_category,9.100182842386852,3.0333942807956173,6,2,0.3333333333333333,33.33333333333333,WS/79391/2024/00214,"CC road construction at Kisan Nagar ward, KANPUR",0.9471321011176338,94.71321011176337,1.3650274263580278,9.999999999999998,23.678302527940843,35.04332995429887,Medium,47.01718907987866,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/79391/2024/00214.,5.323666576351771,0
236,WS/93948/2024/00239,Bihar,GAYA,SANJAY DESHMUKH,School Building Repair,"Construction of additional classroom at Panchayat Bhavan Marg school, GAYA",724597.77,2024-05-19,2025-06-05,National Builders & Contractors,Ongoing,874572.41,5,constituency + work_category,-17.14833880936171,0.0,5,2,0.4,40.0,WS/41420/2025/00943,"Construction of additional classroom at Panchayat Bhavan Marg school, AURANGABAD_MH",0.9217005149320023,92.17005149320023,0.0,12.0,23.04251287330006,35.042512873300055,Medium,85.43983822042466,False,Text Similarity,Project description has 0.92 semantic similarity with project WS/41420/2025/00943.,5.18737159514114,0
237,WS/12441/2025/00389,Bihar,AURANGABAD_BR,RAVI SHANKAR PRASAD JI,Drainage / Nala,"Construction of drainage/nala near Station Road area, AURANGABAD_BR",536911.19,2025-09-24,2026-10-09,Om Sai Infra Pvt Ltd,Completed,644435.71,6,constituency + work_category,-16.685065450516394,0.0,6,2,0.3333333333333333,33.33333333333333,WS/54540/2023/00754,"Construction of drainage/nala near Station Road area, AURANGABAD_BR",1.0000000000000004,100.0,0.0,9.999999999999998,25.0,35.0,Medium,84.22649140546005,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/54540/2023/00754.,20.498682457392004,0
238,WS/57663/2024/00969,Bihar,GAYA,MEERA IYER,Road Construction,Construction of concrete road from Nehru Path to Nehru Path in GAYA,307799.25,2024-08-29,2024-12-21,National Builders & Contractors,Ongoing,1252226.57,9,constituency + work_category,-75.41984355115544,0.0,9,3,0.3333333333333333,33.33333333333333,WS/19849/2025/00967,Construction of concrete road from Nehru Path to Nehru Path in GAYA,1.0,100.0,0.0,9.999999999999998,25.0,35.0,Medium,96.66329625884732,True,Text Similarity,Project description has 1.00 semantic similarity with project WS/19849/2025/00967.,73.02679130490604,1
239,WS/41051/2025/00202,Maharashtra,NANDURBAR(ST),ANITA JOSHI,Community Hall,"Construction of community hall at Nehru Path, NANDURBAR(ST)",2085403.79,2025-10-25,2026-10-14,New India Construction Co.,New Recommendation,2827636.605,6,constituency + work_category,-26.24922925695397,0.0,6,2,0.3333333333333333,33.33333333333333,WS/36680/2024/00078,"Construction of community hall at Nehru Path, NANDURBAR(ST)",1.0,100.0,0.0,9.999999999999998,25.0,35.0,Medium,87.25985844287159,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/36680/2024/00078.,77.41969098512182,1
240,WS/92317/2025/00608,Kerala,KOTTAYAM,ABDUL RASHID SHEIKH,Community Hall,"Construction of community hall at Shanti Nagar, KOTTAYAM",2229160.24,2025-01-14,2025-04-23,United Rural Builders,Ongoing,2408036.685,6,constituency + work_category,-7.4283106280833024,0.0,6,2,0.3333333333333333,33.33333333333333,WS/10841/2025/00808,"Construction of community hall at Shanti Nagar, KOTTAYAM",1.0000000000000002,100.0,0.0,9.999999999999998,25.0,35.0,Medium,79.92922143579374,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/10841/2025/00808.,23.60579332038522,0
241,WS/58717/2025/00331,Kerala,ATTINGAL,ADV ADOOR PRAKASH,Community Hall,"Multipurpose community centre building at Nehru Path panchayat, ATTINGAL",2058319.81,2025-09-09,2026-04-14,Sri Lakshmi Contractors,New Recommendation,2172665.62,6,constituency + work_category,-5.262927205521853,0.0,6,2,0.3333333333333333,33.33333333333333,WS/21813/2023/00094,"Multipurpose community centre building at Nehru Path panchayat, ATTINGAL",0.9999999999999999,99.99999999999999,0.0,9.999999999999998,24.999999999999996,34.99999999999999,Medium,78.56420626895854,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/21813/2023/00094.,43.704437497527636,0
242,WS/39607/2023/00637,Kerala,ATTINGAL,RAVI SHANKAR PRASAD JI,Drainage / Nala,"Construction of drainage/nala near Bazaar Road area, ATTINGAL",558620.0,2023-05-19,2023-12-17,Jai Hind Infrastructure,Sanctioned,507526.095,12,constituency + work_category,10.067246887078788,3.3557489623595957,12,4,0.3333333333333333,33.33333333333333,WS/70693/2025/00856,"Construction of drainage/nala near Bazaar Road area, AURANGABAD_MH",0.939286623802221,93.92866238022211,1.5100870330618181,9.999999999999998,23.482165595055527,34.99225262811734,Medium,54.19615773508595,False,Text Similarity,Project description has 0.94 semantic similarity with project WS/70693/2025/00856.,5.711400606264664,0
243,WS/16054/2024/00757,Jammu And Kashmir,BARAMULLAH,RAVI SHANKAR PRASAD JI,School Building Repair,"Repair and renovation of Govt. School building at Bazaar Road, BARAMULLAH",1372095.45,2024-02-20,2025-02-20,Sri Lakshmi Contractors,Ongoing,1372095.45,5,constituency + work_category,0.0,0.0,5,2,0.4,40.0,WS/61583/2025/00778,"Repair and renovation of Govt. School building at Kisan Nagar, BARAMULLAH",0.9184384689427088,91.84384689427088,0.0,12.0,22.96096172356772,34.96096172356772,Medium,78.96865520728008,False,Text Similarity,Project description has 0.92 semantic similarity with project WS/61583/2025/00778.,6.612076162316757,0
244,WS/25806/2023/00259,Maharashtra,NANDURBAR(ST),ADV ADOOR PRAKASH,Streetlight Installation,"Installation of streetlights at Subhash Nagar chowk, NANDURBAR(ST)",455992.23,2023-04-10,2023-06-13,Deep Construction Co.,New Recommendation,433442.515,6,constituency + work_category,5.202469582385098,1.7341565274616995,6,2,0.3333333333333333,33.33333333333333,WS/40154/2024/00573,"Installation of streetlights at Ram Nagar chowk, NANDURBAR(ST)",0.9647545699534773,96.47545699534773,0.7803704373577648,9.999999999999998,24.118864248836932,34.899234686194696,Medium,54.80283114256825,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/40154/2024/00573.,5.490736047549023,0
245,WS/39154/2023/00034,West Bengal,MURSHIDABAD,ADV DEAN KURIAKOSE,Drainage / Nala,"Covered drain construction from Gandhi Chowk to Ambedkar Colony, MURSHIDABAD",1008637.06,2023-07-20,2024-03-31,Shree Balaji Construction Co.,Sanctioned,628719.8,7,constituency + work_category,60.42711872602071,20.14237290867357,7,1,0.14285714285714285,14.285714285714285,WS/86858/2023/00103,"Covered drain construction from Gandhi Chowk to Gandhi Chowk, PUNE",0.861895976830968,86.18959768309679,9.064067808903106,4.285714285714286,21.547399420774198,34.897181515391594,Medium,90.89989888776542,True,Text Similarity,Project description has 0.86 semantic similarity with project WS/86858/2023/00103.,4.40233562759226,0
246,WS/93202/2024/00075,Jammu And Kashmir,SRINAGAR,ANITA JOSHI,Water Supply / Handpump,"Water supply pipeline extension to Ambedkar Colony area, SRINAGAR",509560.58,2024-01-10,2024-06-10,Jai Hind Infrastructure,Sanctioned,565222.72,5,constituency + work_category,-9.847824234666284,0.0,5,2,0.4,40.0,WS/33999/2025/00849,"Water supply pipeline extension to Ambedkar Colony area, AURANGABAD_BR",0.9153490790124519,91.53490790124519,0.0,12.0,22.883726975311298,34.8837269753113,Medium,84.83316481294236,False,Text Similarity,Project description has 0.92 semantic similarity with project WS/33999/2025/00849.,5.089122646101198,0
247,WS/57352/2024/00708,Kerala,ERNAKULAM,ANITA JOSHI,Water Supply / Handpump,"Installation of handpump at Ambedkar Colony village, ERNAKULAM",373343.33,2024-03-01,2025-01-19,Jai Hind Infrastructure,Ongoing,373343.33,5,constituency + work_category,0.0,0.0,5,2,0.4,40.0,WS/14965/2023/00377,"Installation of handpump at Ram Nagar village, ERNAKULAM",0.9147594896811405,91.47594896811405,0.0,12.0,22.868987242028513,34.86898724202851,Medium,81.09201213346815,False,Text Similarity,Project description has 0.91 semantic similarity with project WS/14965/2023/00377.,6.440078879656057,0
248,WS/51359/2023/00063,Bihar,GAYA,MEERA IYER,Community Hall,"Construction of community hall at Ram Nagar, GAYA",2266557.48,2023-11-23,2024-03-23,Deep Construction Co.,Ongoing,2567870.525,8,constituency + work_category,-11.733965636760441,0.0,8,3,0.375,37.5,WS/67367/2024/00380,"Construction of community hall at Subhash Nagar, GAYA",0.9445252766391066,94.45252766391066,0.0,11.25,23.613131915977664,34.86313191597766,Medium,64.91405460060668,False,Text Similarity,Project description has 0.94 semantic similarity with project WS/67367/2024/00380.,4.563178872316253,0
249,WS/46073/2024/00540,Maharashtra,NANDURBAR(ST),ANITA JOSHI,Road Construction,"CC road construction at Nehru Path ward, NANDURBAR(ST)",2247456.94,2024-01-10,2024-07-17,National Builders & Contractors,New Recommendation,1587568.025,26,state + work_category,41.56602454877485,13.855341516258282,26,5,0.19230769230769232,19.230769230769234,WS/87994/2025/00313,"CC road construction at Nehru Path ward, BARAMULLAH",0.9138350956650808,91.38350956650808,6.234903682316227,5.76923076923077,22.84587739162702,34.850011843174016,Medium,56.62285136501517,False,Text Similarity,Project description has 0.91 semantic similarity with project WS/87994/2025/00313.,6.230132607615679,0
250,WS/20460/2024/00811,Jammu And Kashmir,SRINAGAR,SANJAY DESHMUKH,School Building Repair,"Construction of additional classroom at Nehru Path school, SRINAGAR",1277572.33,2024-12-30,2025-04-24,Progressive Engineers & Contractors,Ongoing,1638156.61,5,constituency + work_category,-22.011587768766503,0.0,5,2,0.4,40.0,WS/30188/2024/00604,"Construction of additional classroom at Nehru Path school, PUNE",0.9139009582999925,91.39009582999925,0.0,12.0,22.847523957499813,34.84752395749982,Medium,88.87765419615774,False,Text Similarity,Project description has 0.91 semantic similarity with project WS/30188/2024/00604.,4.915054024664156,0
251,WS/74923/2024/00084,Maharashtra,PUNE,VIKRAM SINGH RATHORE,Water Supply / Handpump,"Water supply pipeline extension to Andouli area, PUNE",839401.12,2024-04-25,2025-01-07,Progressive Engineers & Contractors,Ongoing,774426.59,7,constituency + work_category,8.390017961547528,2.7966726538491757,7,2,0.2857142857142857,28.57142857142857,WS/12609/2025/00644,"Water supply pipeline extension to Andouli area, PUNE",1.0,100.0,1.2585026942321291,8.571428571428571,25.0,34.829931265660704,Medium,68.35187057633973,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/12609/2025/00644.,77.5891902264387,1
252,WS/16975/2024/00667,Bihar,GAYA,VIKRAM SINGH RATHORE,Solar Light Installation,"Solar light installation near Gandhi Chowk hanuman mandir, GAYA",432517.74,2024-10-21,2025-11-21,Progressive Engineers & Contractors,Sanctioned,288691.87,9,constituency + work_category,49.81985464294509,16.60661821431503,9,1,0.1111111111111111,11.11111111111111,WS/32427/2025/00877,"Solar light installation near Gandhi Chowk hanuman mandir, VARANASI",0.9588684309049889,95.88684309049889,7.472978196441764,3.333333333333333,23.97171077262472,34.77802230239982,Medium,53.99393326592518,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/32427/2025/00877.,5.649446560314184,0
253,WS/94023/2024/00802,West Bengal,HOWRAH,SANJAY DESHMUKH,School Building Repair,"Construction of additional classroom at Bazaar Road school, HOWRAH",1758689.69,2024-04-17,2024-12-29,Metro Civil Works Pvt Ltd,New Recommendation,1443853.62,7,constituency + work_category,21.805262364477073,7.268420788159025,7,2,0.2857142857142857,28.57142857142857,WS/19556/2024/00742,"Construction of additional classroom at Bazaar Road school, AURANGABAD_BR",0.9173453440574368,91.73453440574369,3.270789354671561,8.571428571428571,22.933633601435922,34.775851527536055,Medium,66.22851365015167,False,Text Similarity,Project description has 0.92 semantic similarity with project WS/19556/2024/00742.,6.846119589661582,0
254,WS/53412/2023/00870,Bihar,PATNA_SAHIB,RAJESH KUMAR SHARMA,Community Hall,"Multipurpose community centre building at Vivekanand Marg panchayat, PATNA_SAHIB",2260891.74,2023-07-09,2023-09-13,Progressive Engineers & Contractors,Ongoing,2633655.8600000003,8,constituency + work_category,-14.153865949668917,0.0,8,3,0.375,37.5,WS/62354/2023/00413,"Multipurpose community centre building at Vivekanand Marg panchayat, LUCKNOW",0.9398508295404676,93.98508295404676,0.0,11.25,23.49627073851169,34.74627073851169,Medium,69.9696663296259,False,Text Similarity,Project description has 0.94 semantic similarity with project WS/62354/2023/00413.,4.338052610223619,0
255,WS/86810/2024/00297,Uttar Pradesh,LUCKNOW,ABHIJIT GANGOPADHYAY,Solar Light Installation,"Solar street light at Ram Nagar chowk parisar, LUCKNOW",284203.21,2024-04-08,2024-07-14,New India Construction Co.,Sanctioned,290270.605,6,constituency + work_category,-2.090254712494901,0.0,6,2,0.3333333333333333,33.33333333333333,WS/24769/2023/00570,"Solar street light at Shanti Nagar chowk parisar, LUCKNOW",0.9896933444050898,98.96933444050899,0.0,9.999999999999998,24.742333610127247,34.74233361012725,Medium,70.37411526794742,False,Text Similarity,Project description has 0.99 semantic similarity with project WS/24769/2023/00570.,3.9095210334489887,0
256,WS/53601/2024/00551,Kerala,KOTTAYAM,ADV DEAN KURIAKOSE,Drainage / Nala,"Covered drain construction from Andouli to Nehru Path, KOTTAYAM",1002658.17,2024-01-09,2024-04-09,Sri Lakshmi Contractors,Sanctioned,747976.075,8,constituency + work_category,34.049497505652184,11.34983250188406,8,2,0.25,25.0,WS/81884/2023/00434,"Covered drain construction from Andouli to Andouli, KOTTAYAM",0.8837582792154486,88.37582792154485,5.107424625847828,7.5,22.093956980386213,34.70138160623404,Medium,83.72093023255815,False,Text Similarity,Project description has 0.88 semantic similarity with project WS/81884/2023/00434.,5.265051704587654,0
257,WS/92840/2023/00575,Jammu And Kashmir,BARAMULLAH,MEERA IYER,Drainage / Nala,"Construction of drainage/nala near Vivekanand Marg area, BARAMULLAH",648597.27,2023-08-18,2024-06-07,Deep Construction Co.,Ongoing,711341.41,7,constituency + work_category,-8.820538087329965,0.0,7,3,0.42857142857142855,42.857142857142854,WS/73373/2025/00392,"Construction of drainage/nala near Vivekanand Marg area, LUCKNOW",0.8726078604327785,87.26078604327785,0.0,12.857142857142856,21.81519651081946,34.672339367962316,Medium,95.24772497472193,True,Text Similarity,Project description has 0.87 semantic similarity with project WS/73373/2025/00392.,5.434760409986877,0
258,WS/97382/2025/00624,Bihar,GAYA,ADV DEAN KURIAKOSE,Solar Light Installation,"Solar street light at Bazaar Road chowk parisar, GAYA",376322.46,2025-01-19,2025-10-10,New India Construction Co.,Sanctioned,288691.87,9,constituency + work_category,30.354367097348472,10.118122365782824,9,2,0.2222222222222222,22.22222222222222,WS/15504/2023/00449,"Solar street light at Bazaar Road chowk parisar, AURANGABAD_BR",0.9376315042171603,93.76315042171603,4.553155064602271,6.666666666666666,23.44078760542901,34.660609336697945,Medium,35.79373104145602,False,Text Similarity,Project description has 0.94 semantic similarity with project WS/15504/2023/00449.,5.502837175594663,0
259,WS/97537/2025/00750,Bihar,AURANGABAD_BR,ADITYA YADAV,Water Supply / Handpump,"Water supply pipeline extension to Ambedkar Colony area, AURANGABAD_BR",835950.15,2025-06-13,2025-09-16,New India Construction Co.,Ongoing,589581.39,9,constituency + work_category,41.787065226058104,13.929021742019367,9,1,0.1111111111111111,11.11111111111111,WS/33999/2025/00849,"Water supply pipeline extension to Ambedkar Colony area, AURANGABAD_BR",1.0000000000000002,100.0,6.268059783908716,3.333333333333333,25.0,34.60139311724205,Medium,75.93528816986856,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/33999/2025/00849.,17.699002239840972,0
260,WS/29142/2025/00140,West Bengal,TAMLUK,RAJESH KUMAR SHARMA,Drainage / Nala,"Covered drain construction from Shanti Nagar to Andouli, TAMLUK",325368.79,2025-11-09,2026-02-27,Deep Construction Co.,New Recommendation,750585.74,5,constituency + work_category,-56.65134938481512,0.0,5,2,0.4,40.0,WS/17816/2025/00072,"Covered drain construction from Shanti Nagar to Nehru Path, TAMLUK",0.9027139243467535,90.27139243467535,0.0,12.0,22.567848108668837,34.56784810866884,Medium,96.7644084934277,True,Text Similarity,Project description has 0.90 semantic similarity with project WS/17816/2025/00072.,5.223543392505956,0
261,WS/25264/2023/00686,West Bengal,MURSHIDABAD,ABHAY KUMAR SINHA,Community Hall,"Multipurpose community centre building at Shanti Nagar panchayat, MURSHIDABAD",3424302.87,2023-08-30,2024-06-27,Sri Lakshmi Contractors,Completed,2411628.79,7,constituency + work_category,41.99129170289927,13.997097234299757,7,1,0.14285714285714285,14.285714285714285,WS/29073/2024/00485,"Multipurpose community centre building at Kisan Nagar panchayat, MURSHIDABAD",0.9583097539391608,95.83097539391609,6.298693755434891,4.285714285714286,23.957743848479023,34.5421518896282,Medium,34.07482305358948,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/29073/2024/00485.,4.112731528019641,0
262,WS/95561/2024/00468,Maharashtra,HINGOLI,ADV K FRANCIS GEORGE,Community Hall,"Multipurpose community centre building at Bazaar Road panchayat, HINGOLI",3699481.26,2024-06-18,2025-03-18,Om Sai Infra Pvt Ltd,Ongoing,2558946.56,7,constituency + work_category,44.57047747022899,14.856825823409661,7,1,0.14285714285714285,14.285714285714285,WS/25389/2025/00191,"Multipurpose community centre building at Panchayat Bhavan Marg panchayat, HINGOLI",0.9423888451222531,94.23888451222531,6.685571620534348,4.285714285714286,23.559721128056328,34.53100703430496,Medium,34.17593528816987,False,Text Similarity,Project description has 0.94 semantic similarity with project WS/25389/2025/00191.,4.272246944739679,0
263,WS/57395/2024/00424,Bihar,GAYA,AASHTIKAR PATIL NAGESH BAPURAO,Road Construction,Construction of concrete road from Bazaar Road to Nehru Path in GAYA,1945975.2,2024-04-23,2025-04-15,Om Sai Infra Pvt Ltd,New Recommendation,1252226.57,9,constituency + work_category,55.40120666821499,18.467068889404995,9,1,0.1111111111111111,11.11111111111111,WS/19849/2025/00967,Construction of concrete road from Nehru Path to Nehru Path in GAYA,0.9146516189391974,91.46516189391974,8.310181000232248,3.333333333333333,22.866290473479935,34.50980480704551,Medium,75.42972699696662,False,Text Similarity,Project description has 0.91 semantic similarity with project WS/19849/2025/00967.,6.161228085033245,0
264,WS/12729/2023/00977,Jammu And Kashmir,BARAMULLAH,ADV K FRANCIS GEORGE,Water Supply / Handpump,"Installation of handpump at Bazaar Road village, GAYA",598567.12,2023-04-14,2024-02-10,Sri Lakshmi Contractors,New Recommendation,503772.11,9,constituency + work_category,18.817042094688414,6.272347364896137,9,2,0.2222222222222222,22.22222222222222,WS/32312/2025/00976,"Installation of handpump at Bazaar Road village, GAYA",0.9999999999999999,99.99999999999999,2.8225563142032617,6.666666666666666,24.999999999999996,34.489222980869926,Medium,58.442871587462086,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/32312/2025/00976.,42.40559307576349,0
265,WS/43386/2024/00037,Bihar,GAYA,ADV K FRANCIS GEORGE,School Building Repair,"Construction of additional classroom at Andouli school, GAYA",1248692.39,2024-09-05,2025-01-02,Sri Lakshmi Contractors,Ongoing,874572.41,5,constituency + work_category,42.77747339411266,14.259157798037553,5,1,0.2,20.0,WS/81943/2025/00530,"Construction of additional classroom at Andouli school, BADAUN",0.8824265059918146,88.24265059918146,6.4166210091168985,6.0,22.060662649795365,34.47728365891226,Medium,80.38422649140546,False,Text Similarity,Project description has 0.88 semantic similarity with project WS/81943/2025/00530.,4.676443796281774,0
266,WS/48985/2024/00164,Maharashtra,NAGPUR,RAVI SHANKAR PRASAD JI,Community Hall,"Construction of community hall at Ambedkar Colony, NAGPUR",3104768.22,2024-02-04,2024-12-07,Ganesh Engineering Works,Sanctioned,3104768.22,5,constituency + work_category,0.0,0.0,5,2,0.4,40.0,WS/41850/2023/00018,"Construction of community hall at Ambedkar Colony, AURANGABAD_MH",0.8979846345625773,89.79846345625772,0.0,12.0,22.44961586406443,34.44961586406443,Medium,86.5520728008089,False,Text Similarity,Project description has 0.90 semantic similarity with project WS/41850/2023/00018.,5.62120074484189,0
267,WS/68429/2024/00235,Maharashtra,PUNE,ADV ADOOR PRAKASH,Streetlight Installation,"LED streetlight installation along Vivekanand Marg road, PUNE",486083.86,2024-10-23,2025-10-15,Deep Construction Co.,Ongoing,463412.09,6,constituency + work_category,4.892356174824865,1.6307853916082884,6,2,0.3333333333333333,33.33333333333333,WS/24089/2025/00169,"LED streetlight installation along Subhash Nagar road, PUNE",0.9478350736022245,94.78350736022246,0.7338534262237298,9.999999999999998,23.695876840055615,34.42973026627934,Medium,42.366026289180994,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/24089/2025/00169.,5.668290174987048,0
268,WS/12588/2025/00836,Bihar,GAYA,ABU TAHER KHAN,Road Construction,"CC road construction at Subhash Nagar ward, GAYA",1352889.26,2025-03-31,2026-03-01,National Builders & Contractors,Sanctioned,1252226.57,9,constituency + work_category,8.038696224118606,2.6795654080395357,9,3,0.3333333333333333,33.33333333333333,WS/57948/2024/00390,"CC road construction at Subhash Nagar ward, KANPUR",0.9261226463595864,92.61226463595864,1.205804433617791,9.999999999999998,23.15306615898966,34.358870592607445,Medium,62.588473205257834,False,Text Similarity,Project description has 0.93 semantic similarity with project WS/57948/2024/00390.,6.04037784195684,0
269,WS/73068/2025/00798,Uttar Pradesh,LUCKNOW,ADV GOWAAL KAGADA PADAVI,Community Hall,"Multipurpose community centre building at Ram Nagar panchayat, LUCKNOW",2941054.58,2025-12-16,2027-01-05,Ganesh Engineering Works,New Recommendation,2098141.56,7,constituency + work_category,40.174268317720184,13.391422772573394,7,1,0.14285714285714285,14.285714285714285,WS/45811/2025/00148,"Multipurpose community centre building at Ram Nagar panchayat, AURANGABAD_BR",0.9613700652000439,96.13700652000439,6.026140247658027,4.285714285714286,24.034251630001098,34.346106163373406,Medium,34.883720930232556,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/45811/2025/00148.,3.895997826029311,0
270,WS/80455/2024/00726,Maharashtra,AURANGABAD_MH,ADITYA YADAV,Solar Light Installation,"Solar street light at Subhash Nagar chowk parisar, AURANGABAD_MH",438769.03,2024-04-17,2025-03-19,National Builders & Contractors,Ongoing,358807.4,9,constituency + work_category,22.285390435091358,7.428463478363787,9,2,0.2222222222222222,22.22222222222222,WS/58467/2024/00972,"Solar street light at Subhash Nagar chowk parisar, BARAMULLAH",0.9731463899080304,97.31463899080303,3.342808565263704,6.666666666666666,24.32865974770076,34.33813497963113,Medium,39.635995955510616,False,Text Similarity,Project description has 0.97 semantic similarity with project WS/58467/2024/00972.,5.389711093774877,0
271,WS/74942/2025/00076,Bihar,PATNA_SAHIB,ADV K FRANCIS GEORGE,Community Hall,"Multipurpose community centre building at Nehru Path panchayat, PATNA_SAHIB",3175333.77,2025-08-26,2026-01-15,New India Construction Co.,Sanctioned,2633655.8600000003,8,constituency + work_category,20.56752813558563,6.855842711861876,8,2,0.25,25.0,WS/72530/2024/00439,"Multipurpose community centre building at Nehru Path panchayat, AURANGABAD_MH",0.9498113431911821,94.98113431911821,3.085129220337844,7.5,23.745283579779553,34.3304128001174,Medium,25.075834175935285,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/72530/2024/00439.,5.221952394791709,0
272,WS/21297/2023/00692,West Bengal,KANTHI,VIKRAM SINGH RATHORE,Solar Light Installation,"Solar light installation near Panchayat Bhavan Marg hanuman mandir, KANTHI",439829.57,2023-09-13,2024-09-25,Ganesh Engineering Works,New Recommendation,301057.32,20,state + work_category,46.09495959108385,15.364986530361282,20,2,0.1,10.0,WS/79501/2024/00545,"Solar light installation near Panchayat Bhavan Marg hanuman mandir, AURANGABAD_BR",0.9754137183103775,97.54137183103775,6.914243938662577,3.0,24.385342957759438,34.299586896422014,Medium,66.83518705763397,False,Text Similarity,Project description has 0.98 semantic similarity with project WS/79501/2024/00545.,4.7207551768841896,0
273,WS/73373/2025/00392,Uttar Pradesh,LUCKNOW,MEERA IYER,Drainage / Nala,"Construction of drainage/nala near Vivekanand Marg area, LUCKNOW",461230.67,2025-11-27,2026-11-11,Progressive Engineers & Contractors,Ongoing,472536.05,5,constituency + work_category,-2.3924904777106435,0.0,5,2,0.4,40.0,WS/81989/2024/00192,"Construction of drainage/nala near Ambedkar Colony area, LUCKNOW",0.8919255905168615,89.19255905168615,0.0,12.0,22.298139762921537,34.29813976292154,Medium,88.77654196157735,False,Text Similarity,Project description has 0.89 semantic similarity with project WS/81989/2024/00192.,6.266132018103336,0
