unique_work_number,state,constituency,mp_name,work_category,work_name,sanction_amount,date_of_administrative_approval,expected_completion_date,implementing_agency_name,work_status
WS/33255/2024/00402,Maharashtra,HINGOLI,ADITYA YADAV,Streetlight Installation,"Installation of streetlights at Ambedkar Colony chowk, HINGOLI",536816.26,29-08-2024,30-05-2025,National Builders & Contractors,Completed
WS/23970/2023/00406,Uttar Pradesh,BADAUN,ANITA JOSHI,Road Construction,"CC road construction at Shanti Nagar ward, BADAUN",1437550.8,28-10-2023,05-06-2024,Sri Lakshmi Contractors,New Recommendation
WS/19807/2023/00085,Maharashtra,NAGPUR,ABHIJIT GANGOPADHYAY,Streetlight Installation,"LED streetlight installation along Ambedkar Colony road, NAGPUR",559698.75,16-04-2023,27-08-2023,Sri Lakshmi Contractors,Ongoing
WS/46760/2025/00510,Uttar Pradesh,BADAUN,ADITYA YADAV,Streetlight Installation,"LED streetlight installation along Andouli road, BADAUN",458471.99,27-06-2025,23-02-2026,Om Sai Infra Pvt Ltd,Ongoing
WS/53165/2023/00964,Kerala,ATTINGAL,ADV DEAN KURIAKOSE,Drainage / Nala,"Construction of drainage/nala near Kisan Nagar area, GAYA",115076.66,20-05-2023,21-12-2023,Om Sai Infra Pvt Ltd,New Recommendation
WS/24131/2025/00614,Kerala,ATTINGAL,ABHAY KUMAR SINHA,Road Construction,"CC road construction at Andouli ward, ATTINGAL",2116976.92,15-05-2025,19-02-2026,Shree Balaji Construction Co.,Ongoing
WS/78732/2024/00215,Bihar,AURANGABAD_BR,ANITA JOSHI,Solar Light Installation,"Solar light installation near Shanti Nagar hanuman mandir, AURANGABAD_BR",344250.68,14-06-2024,12-11-2024,Om Sai Infra Pvt Ltd,Completed
WS/91560/2024/00050,Maharashtra,NAGPUR,ADV K FRANCIS GEORGE,Water Supply / Handpump,"Water supply pipeline extension to Station Road area, NAGPUR",675399.32,19-05-2024,10-10-2024,Metro Civil Works Pvt Ltd,Ongoing
WS/99300/2023/00671,West Bengal,TAMLUK,ADV ADOOR PRAKASH,Solar Light Installation,"Solar street light at Panchayat Bhavan Marg chowk parisar, TAMLUK",274338.77,06-07-2023,19-02-2024,Shree Balaji Construction Co.,New Recommendation
WS/29476/2025/00082,Uttar Pradesh,VARANASI,AASHTIKAR PATIL NAGESH BAPURAO,Community Hall,"Multipurpose community centre building at Ambedkar Colony panchayat, VARANASI",3315127.46,05-08-2025,31-07-2026,Jai Hind Infrastructure,Sanctioned
WS/80436/2024/00880,Maharashtra,HINGOLI,RAJESH KUMAR SHARMA,Drainage / Nala,"Construction of drainage/nala near Panchayat Bhavan Marg area, HINGOLI",957429.01,12-01-2024,10-06-2024,Bharat Infra Solutions,Completed
WS/22358/2025/00465,Bihar,AURANGABAD_BR,ADITYA YADAV,Solar Light Installation,"Solar street light at Andouli chowk parisar, AURANGABAD_BR",210216.64,30-05-2025,17-12-2025,United Rural Builders,Ongoing
WS/45405/2023/00844,West Bengal,MURSHIDABAD,ADV K FRANCIS GEORGE,Solar Light Installation,"Solar light installation near Ram Nagar hanuman mandir, MURSHIDABAD",251769.5,27-04-2023,30-04-2024,Ganesh Engineering Works,Completed
WS/24089/2025/00169,Maharashtra,PUNE,VIKRAM SINGH RATHORE,Streetlight Installation,"LED streetlight installation along Subhash Nagar road, PUNE",547052.76,29-01-2025,25-11-2025,Bharat Infra Solutions,Completed
WS/13966/2024/00522,Bihar,PATNA_SAHIB,ADHIKARI SOUMENDU,Water Supply / Handpump,"Installation of handpump at Ram Nagar village, PATNA_SAHIB",842085.1,04-03-2024,16-10-2024,Metro Civil Works Pvt Ltd,Sanctioned
WS/59425/2024/00761,Jammu And Kashmir,BARAMULLAH,ADITYA YADAV,School Building Repair,"Construction of additional classroom at Bazaar Road school, BARAMULLAH",1608435.57,10-05-2024,28-10-2024,Bharat Infra Solutions,Sanctioned
WS/31157/2024/00728,Kerala,ERNAKULAM,RAJESH KUMAR SHARMA,Solar Light Installation,"Solar light installation near Kisan Nagar hanuman mandir, ERNAKULAM",321272.43,20-11-2024,07-10-2025,Bharat Infra Solutions,Completed
WS/25264/2023/00686,West Bengal,MURSHIDABAD,ABHAY KUMAR SINHA,Community Hall,"Multipurpose community centre building at Shanti Nagar panchayat, MURSHIDABAD",3424302.87,30-08-2023,27-06-2024,Sri Lakshmi Contractors,Completed
WS/76444/2023/00353,West Bengal,MURSHIDABAD,ABHAY KUMAR SINHA,Solar Light Installation,"Solar street light at Gandhi Chowk chowk parisar, MURSHIDABAD",272076.79,03-12-2023,19-07-2024,Bharat Infra Solutions,Completed
WS/56388/2024/00225,Jammu And Kashmir,SRINAGAR,MEERA IYER,Streetlight Installation,"LED streetlight installation along Station Road road, SRINAGAR",399633.0,22-05-2024,11-09-2024,Shree Balaji Construction Co.,Completed
WS/59710/2025/00217,Bihar,GAYA,ABHAY KUMAR SINHA,Water Supply / Handpump,"Water supply pipeline extension to Subhash Nagar area, GAYA",894172.29,25-01-2025,11-04-2025,Om Sai Infra Pvt Ltd,Sanctioned
WS/36171/2024/00307,West Bengal,HOWRAH,ABU TAHER KHAN,Road Construction,Construction of concrete road from Ram Nagar to Andouli in HOWRAH,1413409.17,11-06-2024,23-09-2024,Bharat Infra Solutions,Sanctioned
WS/84205/2024/00255,West Bengal,MURSHIDABAD,VIKRAM SINGH RATHORE,Community Hall,"Construction of community hall at Ambedkar Colony, MURSHIDABAD",2307162.87,16-01-2024,04-09-2024,United Rural Builders,Ongoing
WS/27888/2023/00781,West Bengal,KANTHI,PRIYA VERMA,Solar Light Installation,"Solar street light at Vivekanand Marg chowk parisar, KANTHI",168041.25,09-05-2023,13-07-2023,Bharat Infra Solutions,Completed
WS/61260/2025/00777,West Bengal,HOWRAH,ABDUL RASHID SHEIKH,Water Supply / Handpump,"Water supply pipeline extension to Bazaar Road area, HOWRAH",263771.87,21-01-2025,10-11-2025,New India Construction Co.,New Recommendation
WS/95957/2024/00683,Kerala,ATTINGAL,SANJAY DESHMUKH,Streetlight Installation,"LED streetlight installation along Ambedkar Colony road, ATTINGAL",158061.85,09-05-2024,05-09-2024,Shree Balaji Construction Co.,Ongoing
WS/64596/2025/00589,Jammu And Kashmir,SRINAGAR,ABU TAHER KHAN,Solar Light Installation,"Solar light installation near Panchayat Bhavan Marg hanuman mandir, SRINAGAR",171489.66,30-11-2025,16-12-2026,Shree Balaji Construction Co.,New Recommendation
WS/24246/2024/00859,Bihar,AURANGABAD_BR,VIKRAM SINGH RATHORE,School Building Repair,"Construction of additional classroom at Ambedkar Colony school, AURANGABAD_BR",924033.25,08-04-2024,12-01-2025,National Builders & Contractors,New Recommendation
WS/68479/2024/00709,Kerala,ERNAKULAM,SANJAY DESHMUKH,Road Construction,"CC road construction at Ram Nagar ward, ERNAKULAM",956822.64,09-06-2024,13-10-2024,Metro Civil Works Pvt Ltd,Ongoing
WS/59998/2023/00744,Maharashtra,PUNE,SANJAY DESHMUKH,Road Construction,"CC road construction at Subhash Nagar ward, PUNE",973106.89,28-05-2023,08-05-2024,Shree Balaji Construction Co.,New Recommendation
WS/31694/2023/00875,Bihar,AURANGABAD_BR,ABDUL RASHID SHEIKH,Solar Light Installation,"Solar street light at Ambedkar Colony chowk parisar, AURANGABAD_BR",440365.9,12-10-2023,01-07-2024,Metro Civil Works Pvt Ltd,Completed
WS/57948/2024/00390,Uttar Pradesh,KANPUR,ADITYA YADAV,Road Construction,"CC road construction at Subhash Nagar ward, KANPUR",1737709.8,08-10-2024,09-09-2025,Metro Civil Works Pvt Ltd,Ongoing
WS/55977/2024/00979,Uttar Pradesh,LUCKNOW,ABU TAHER KHAN,Solar Light Installation,"Solar light installation near Andouli hanuman mandir, VARANASI",132868.53,06-02-2024,24-09-2024,Metro Civil Works Pvt Ltd,Sanctioned
WS/25674/2023/00606,Uttar Pradesh,VARANASI,VIKRAM SINGH RATHORE,Streetlight Installation,"Installation of streetlights at Vivekanand Marg chowk, VARANASI",346230.83,21-12-2023,05-01-2025,Progressive Engineers & Contractors,Sanctioned
WS/18523/2025/00743,Maharashtra,NAGPUR,ABHIJIT GANGOPADHYAY,Road Construction,"Widening and strengthening of road near Shanti Nagar village, NAGPUR",2456693.48,25-10-2025,10-01-2026,Sri Lakshmi Contractors,New Recommendation
WS/27895/2023/00245,Jammu And Kashmir,BARAMULLAH,ADV K FRANCIS GEORGE,Solar Light Installation,"Solar street light at Gandhi Chowk chowk parisar, BARAMULLAH",257850.34,25-05-2023,23-01-2024,Shree Balaji Construction Co.,Sanctioned
WS/79603/2025/00336,West Bengal,HOWRAH,AASHTIKAR PATIL NAGESH BAPURAO,Road Construction,"CC road construction at Gandhi Chowk ward, HOWRAH",1707430.42,18-04-2025,25-12-2025,Shree Balaji Construction Co.,New Recommendation
WS/29871/2025/00699,Bihar,GAYA,ADHIKARI SOUMENDU,Road Construction,Construction of concrete road from Station Road to Subhash Nagar in GAYA,1252226.57,02-04-2025,30-12-2025,New India Construction Co.,Ongoing
WS/21300/2025/00269,Kerala,ATTINGAL,ADV GOWAAL KAGADA PADAVI,Water Supply / Handpump,"Water supply pipeline extension to Subhash Nagar area, ATTINGAL",506240.23,02-12-2025,02-06-2026,Shree Balaji Construction Co.,Ongoing
WS/55029/2025/00537,Jammu And Kashmir,SRINAGAR,ABHAY KUMAR SINHA,Water Supply / Handpump,"Water supply pipeline extension to Station Road area, SRINAGAR",643581.36,26-06-2025,17-06-2026,Bharat Infra Solutions,Completed
WS/86434/2024/00194,Uttar Pradesh,LUCKNOW,ADHIKARI SOUMENDU,Community Hall,"Multipurpose community centre building at Ambedkar Colony panchayat, LUCKNOW",3636215.02,26-06-2024,23-10-2024,Progressive Engineers & Contractors,Ongoing
WS/14405/2025/00412,West Bengal,TAMLUK,ADITYA YADAV,Solar Light Installation,"Solar light installation near Bazaar Road hanuman mandir, TAMLUK",329909.48,02-07-2025,23-05-2026,Bharat Infra Solutions,Ongoing
WS/28098/2024/00177,West Bengal,MURSHIDABAD,SANJAY DESHMUKH,Water Supply / Handpump,"Water supply pipeline extension to Station Road area, MURSHIDABAD",342724.18,26-08-2024,03-09-2025,Metro Civil Works Pvt Ltd,Completed
WS/67684/2023/00261,Jammu And Kashmir,JAMMU,ABU TAHER KHAN,Road Construction,Construction of concrete road from Vivekanand Marg to Kisan Nagar in JAMMU,1701864.07,09-04-2023,15-04-2024,Progressive Engineers & Contractors,Ongoing
WS/92700/2023/00804,Kerala,ATTINGAL,PRIYA VERMA,School Building Repair,"Repair and renovation of Govt. School building at Kisan Nagar, ATTINGAL",1429929.89,05-12-2023,04-10-2024,Shree Balaji Construction Co.,New Recommendation
WS/81766/2025/00714,West Bengal,TAMLUK,ADV GOWAAL KAGADA PADAVI,Community Hall,"Construction of community hall at Vivekanand Marg, TAMLUK",2038953.64,17-07-2025,23-05-2026,Shree Balaji Construction Co.,Completed
WS/84743/2024/00718,Uttar Pradesh,BADAUN,RAVI SHANKAR PRASAD JI,Road Construction,"Widening and strengthening of road near Station Road village, BADAUN",1127125.45,24-12-2024,26-11-2025,Jai Hind Infrastructure,Completed
WS/92245/2023/00887,Uttar Pradesh,KANPUR,ADHIKARI SOUMENDU,Community Hall,"Construction of community hall at Station Road, KANPUR",2329390.8,06-09-2023,08-03-2024,Shree Balaji Construction Co.,New Recommendation
WS/85197/2024/00419,Kerala,KOTTAYAM,ABHAY KUMAR SINHA,Streetlight Installation,"Installation of streetlights at Nehru Path chowk, KOTTAYAM",569128.31,31-07-2024,08-03-2025,New India Construction Co.,Ongoing
WS/35106/2025/00617,Uttar Pradesh,LUCKNOW,ANITA JOSHI,Streetlight Installation,"Installation of streetlights at Nehru Path chowk, LUCKNOW",180751.67,18-07-2025,09-07-2026,Shree Balaji Construction Co.,Ongoing
WS/20828/2024/00149,West Bengal,HOWRAH,PRIYA VERMA,Community Hall,"Construction of community hall at Kisan Nagar, HOWRAH",3934308.96,21-08-2024,01-07-2025,New India Construction Co.,New Recommendation
WS/58530/2025/00928,Bihar,GAYA,PRIYA VERMA,Drainage / Nala,"Covered drain construction from Vivekanand Marg to Andouli, GAYA",613277.0,01-12-2025,07-05-2026,Shree Balaji Construction Co.,Completed
WS/26401/2023/00902,Uttar Pradesh,VARANASI,ANITA JOSHI,Drainage / Nala,"Covered drain construction from Kisan Nagar to Gandhi Chowk, VARANASI",2224512.91,08-09-2023,25-03-2024,Om Sai Infra Pvt Ltd,Sanctioned
WS/10702/2025/00663,Jammu And Kashmir,SRINAGAR,RAJESH KUMAR SHARMA,Streetlight Installation,"LED streetlight installation along Nehru Path road, SRINAGAR",572694.87,16-12-2025,17-12-2026,Deep Construction Co.,Completed
WS/14385/2024/00535,Uttar Pradesh,KANPUR,ADV ADOOR PRAKASH,Water Supply / Handpump,"Water supply pipeline extension to Andouli area, KANPUR",551210.16,25-05-2024,29-04-2025,Jai Hind Infrastructure,New Recommendation
WS/45986/2025/00151,Jammu And Kashmir,JAMMU,MEERA IYER,Community Hall,"Construction of community hall at Panchayat Bhavan Marg, JAMMU",2617824.15,14-04-2025,10-12-2025,Jai Hind Infrastructure,Sanctioned
WS/88924/2023/00841,Kerala,ATTINGAL,ABDUL RASHID SHEIKH,Drainage / Nala,"Covered drain construction from Station Road to Gandhi Chowk, ATTINGAL",333060.55,24-08-2023,24-03-2024,Ganesh Engineering Works,Ongoing
WS/81989/2024/00192,Uttar Pradesh,LUCKNOW,ADV ADOOR PRAKASH,Drainage / Nala,"Construction of drainage/nala near Ambedkar Colony area, LUCKNOW",730363.71,09-07-2024,14-07-2025,New India Construction Co.,Sanctioned
WS/22265/2025/00669,Kerala,ERNAKULAM,MEERA IYER,School Building Repair,"Repair and renovation of Govt. School building at Gandhi Chowk, ERNAKULAM",557487.24,07-04-2025,20-08-2025,Om Sai Infra Pvt Ltd,New Recommendation
WS/15100/2024/00172,Uttar Pradesh,VARANASI,ABU TAHER KHAN,Drainage / Nala,"Covered drain construction from Shanti Nagar to Kisan Nagar, VARANASI",842216.66,16-05-2024,28-03-2025,Shree Balaji Construction Co.,Completed
WS/69372/2025/00528,Maharashtra,NANDURBAR(ST),ABU TAHER KHAN,Streetlight Installation,"LED streetlight installation along Station Road road, NANDURBAR(ST)",556465.2,11-01-2025,12-03-2025,National Builders & Contractors,Ongoing
WS/38199/2024/00168,West Bengal,KANTHI,VIKRAM SINGH RATHORE,Road Construction,Construction of concrete road from Bazaar Road to Vivekanand Marg in KANTHI,953083.46,07-05-2024,21-03-2025,Metro Civil Works Pvt Ltd,Ongoing
WS/88504/2024/00013,Kerala,KOTTAYAM,ANITA JOSHI,Streetlight Installation,"Installation of streetlights at Vivekanand Marg chowk, KOTTAYAM",239510.0,17-04-2024,06-09-2024,United Rural Builders,Completed
WS/15776/2024/00747,Bihar,PATNA_SAHIB,SANJAY DESHMUKH,School Building Repair,"Construction of additional classroom at Andouli school, PATNA_SAHIB",1414472.25,29-06-2024,01-12-2024,Ganesh Engineering Works,Ongoing
WS/86271/2024/00145,Bihar,PATNA_SAHIB,AASHTIKAR PATIL NAGESH BAPURAO,Community Hall,"Construction of community hall at Kisan Nagar, PATNA_SAHIB",3471300.04,19-03-2024,18-09-2024,Deep Construction Co.,Completed
WS/43791/2025/00405,West Bengal,MURSHIDABAD,ADV DEAN KURIAKOSE,School Building Repair,"Repair and renovation of Govt. School building at Gandhi Chowk, MURSHIDABAD",1472202.45,18-10-2025,28-01-2026,Bharat Infra Solutions,Sanctioned
WS/92840/2023/00575,Jammu And Kashmir,BARAMULLAH,MEERA IYER,Drainage / Nala,"Construction of drainage/nala near Vivekanand Marg area, BARAMULLAH",648597.27,18-08-2023,07-06-2024,Deep Construction Co.,Ongoing
WS/51120/2023/00654,Kerala,IDUKKI,MEERA IYER,Solar Light Installation,"Solar light installation near Bazaar Road hanuman mandir, IDUKKI",324384.58,04-04-2023,25-12-2023,Ganesh Engineering Works,New Recommendation
WS/95561/2024/00468,Maharashtra,HINGOLI,ADV K FRANCIS GEORGE,Community Hall,"Multipurpose community centre building at Bazaar Road panchayat, HINGOLI",3699481.26,18-06-2024,18-03-2025,Om Sai Infra Pvt Ltd,Ongoing
WS/34881/2023/00167,Maharashtra,PUNE,PRIYA VERMA,Solar Light Installation,"Solar street light at Shanti Nagar chowk parisar, PUNE",315382.11,11-12-2023,30-04-2024,New India Construction Co.,New Recommendation
WS/76655/2025/00479,Bihar,AURANGABAD_BR,AASHTIKAR PATIL NAGESH BAPURAO,Community Hall,"Multipurpose community centre building at Kisan Nagar panchayat, AURANGABAD_BR",3668526.11,24-01-2025,08-10-2025,Ganesh Engineering Works,Sanctioned
WS/49066/2024/00381,West Bengal,MURSHIDABAD,RAVI SHANKAR PRASAD JI,Drainage / Nala,"Covered drain construction from Panchayat Bhavan Marg to Kisan Nagar, MURSHIDABAD",422743.31,05-05-2024,09-04-2025,Bharat Infra Solutions,Ongoing
WS/82512/2023/00360,West Bengal,HOWRAH,ANITA JOSHI,Drainage / Nala,"Covered drain construction from Subhash Nagar to Bazaar Road, HOWRAH",1167469.28,05-04-2023,01-03-2024,Deep Construction Co.,Completed
WS/28351/2025/00262,Kerala,IDUKKI,SANJAY DESHMUKH,Streetlight Installation,"LED streetlight installation along Ram Nagar road, IDUKKI",458954.78,28-08-2025,15-02-2026,Om Sai Infra Pvt Ltd,Completed
WS/70931/2025/00058,Jammu And Kashmir,SRINAGAR,ADHIKARI SOUMENDU,Water Supply / Handpump,"Water supply pipeline extension to Subhash Nagar area, SRINAGAR",565222.72,26-01-2025,12-08-2025,Jai Hind Infrastructure,Sanctioned
WS/97797/2023/00351,West Bengal,TAMLUK,ABHAY KUMAR SINHA,Community Hall,"Construction of community hall at Vivekanand Marg, TAMLUK",3137433.92,13-04-2023,06-03-2024,Deep Construction Co.,Ongoing
WS/11620/2024/00314,Maharashtra,HINGOLI,PRIYA VERMA,Streetlight Installation,"LED streetlight installation along Kisan Nagar road, HINGOLI",328809.75,28-02-2024,16-09-2024,United Rural Builders,Sanctioned
WS/47606/2024/00040,Kerala,ERNAKULAM,ADHIKARI SOUMENDU,Streetlight Installation,"LED streetlight installation along Gandhi Chowk road, ERNAKULAM",406097.36,20-05-2024,25-04-2025,Shree Balaji Construction Co.,New Recommendation
WS/50481/2023/00792,West Bengal,MURSHIDABAD,ANITA JOSHI,Streetlight Installation,"LED streetlight installation along Gandhi Chowk road, MURSHIDABAD",467083.11,14-04-2023,10-10-2023,Shree Balaji Construction Co.,Completed
WS/85166/2025/00180,Bihar,PATNA_SAHIB,RAJESH KUMAR SHARMA,Streetlight Installation,"LED streetlight installation along Panchayat Bhavan Marg road, PATNA_SAHIB",570165.17,23-06-2025,09-01-2026,Bharat Infra Solutions,Completed
WS/27157/2025/00829,Uttar Pradesh,VARANASI,ADV GOWAAL KAGADA PADAVI,Water Supply / Handpump,"Installation of handpump at Vivekanand Marg village, VARANASI",846144.65,18-03-2025,21-02-2026,Sri Lakshmi Contractors,Completed
WS/81884/2023/00434,Kerala,KOTTAYAM,ABHAY KUMAR SINHA,Drainage / Nala,"Covered drain construction from Andouli to Andouli, KOTTAYAM",450219.42,15-07-2023,31-10-2023,Om Sai Infra Pvt Ltd,Sanctioned
WS/68652/2024/00909,Jammu And Kashmir,JAMMU,ABU TAHER KHAN,Drainage / Nala,"Covered drain construction from Shanti Nagar to Vivekanand Marg, JAMMU",5280276.27,26-08-2024,16-07-2025,Deep Construction Co.,New Recommendation
WS/95979/2025/00181,West Bengal,KANTHI,ABU TAHER KHAN,Community Hall,"Multipurpose community centre building at Nehru Path panchayat, KANTHI",1605166.22,04-12-2025,14-03-2026,New India Construction Co.,Sanctioned
WS/13771/2024/00660,Uttar Pradesh,LUCKNOW,ADV GOWAAL KAGADA PADAVI,Water Supply / Handpump,"Installation of handpump at Nehru Path village, LUCKNOW",674032.06,02-06-2024,01-11-2024,Sri Lakshmi Contractors,Ongoing
WS/94675/2025/00132,Jammu And Kashmir,JAMMU,ABHAY KUMAR SINHA,Community Hall,"Multipurpose community centre building at Panchayat Bhavan Marg panchayat, JAMMU",2897305.18,18-01-2025,03-09-2025,National Builders & Contractors,Completed
WS/49121/2025/00326,Uttar Pradesh,BADAUN,AASHTIKAR PATIL NAGESH BAPURAO,Streetlight Installation,"LED streetlight installation along Panchayat Bhavan Marg road, BADAUN",599743.22,15-12-2025,23-08-2026,United Rural Builders,New Recommendation
WS/99399/2025/00032,West Bengal,MURSHIDABAD,ABDUL RASHID SHEIKH,Community Hall,"Construction of community hall at Gandhi Chowk, MURSHIDABAD",2411628.79,11-11-2025,30-01-2026,New India Construction Co.,Ongoing
WS/98826/2024/00323,Bihar,AURANGABAD_BR,PRIYA VERMA,Road Construction,"CC road construction at Gandhi Chowk ward, AURANGABAD_BR",1076942.59,06-11-2024,24-04-2025,Ganesh Engineering Works,Ongoing
WS/12942/2023/00398,Kerala,ATTINGAL,VIKRAM SINGH RATHORE,Water Supply / Handpump,"Installation of handpump at Gandhi Chowk village, ATTINGAL",535170.25,02-11-2023,29-10-2024,National Builders & Contractors,Sanctioned
WS/30677/2023/00566,Uttar Pradesh,LUCKNOW,MEERA IYER,Drainage / Nala,"Construction of drainage/nala near Andouli area, LUCKNOW",1133107.98,12-05-2023,17-09-2023,Om Sai Infra Pvt Ltd,Sanctioned
WS/49062/2024/00722,Bihar,PATNA_SAHIB,ADHIKARI SOUMENDU,Road Construction,"Widening and strengthening of road near Subhash Nagar village, PATNA_SAHIB",1844608.23,28-02-2024,29-07-2024,Shree Balaji Construction Co.,Completed
WS/75973/2024/00337,Maharashtra,NANDURBAR(ST),ADV ADOOR PRAKASH,Water Supply / Handpump,"Installation of handpump at Bazaar Road village, NANDURBAR(ST)",813889.59,14-02-2024,19-06-2024,Om Sai Infra Pvt Ltd,Sanctioned
WS/83273/2024/00330,Jammu And Kashmir,JAMMU,RAVI SHANKAR PRASAD JI,Drainage / Nala,"Covered drain construction from Shanti Nagar to Panchayat Bhavan Marg, JAMMU",564405.65,26-07-2024,28-11-2024,Deep Construction Co.,New Recommendation
WS/58177/2025/00260,West Bengal,TAMLUK,ADV ADOOR PRAKASH,School Building Repair,"Construction of additional classroom at Nehru Path school, TAMLUK",525063.51,04-07-2025,24-10-2025,Om Sai Infra Pvt Ltd,New Recommendation
WS/47304/2024/00430,Uttar Pradesh,VARANASI,RAJESH KUMAR SHARMA,Road Construction,"CC road construction at Vivekanand Marg ward, VARANASI",1499993.54,25-03-2024,30-03-2025,Ganesh Engineering Works,Ongoing
WS/35362/2025/00368,Uttar Pradesh,KANPUR,ADV ADOOR PRAKASH,Water Supply / Handpump,"Installation of handpump at Nehru Path village, KANPUR",693240.35,23-01-2025,28-09-2025,Jai Hind Infrastructure,Ongoing
WS/98000/2025/00783,Uttar Pradesh,BADAUN,ADHIKARI SOUMENDU,Community Hall,"Multipurpose community centre building at Andouli panchayat, BADAUN",1810378.46,29-04-2025,14-01-2026,National Builders & Contractors,Completed
WS/79806/2024/00120,Bihar,PATNA_SAHIB,ABHIJIT GANGOPADHYAY,Road Construction,"CC road construction at Kisan Nagar ward, PATNA_SAHIB",1645555.06,14-06-2024,10-11-2024,National Builders & Contractors,Sanctioned
WS/21086/2023/00851,Kerala,ATTINGAL,ABHAY KUMAR SINHA,Water Supply / Handpump,"Water supply pipeline extension to Kisan Nagar area, ATTINGAL",368025.72,05-07-2023,26-11-2023,Jai Hind Infrastructure,Completed
WS/12651/2025/00317,Maharashtra,NAGPUR,ADV K FRANCIS GEORGE,Water Supply / Handpump,"Water supply pipeline extension to Vivekanand Marg area, NAGPUR",366305.51,03-05-2025,02-03-2026,Bharat Infra Solutions,New Recommendation
WS/74942/2025/00076,Bihar,PATNA_SAHIB,ADV K FRANCIS GEORGE,Community Hall,"Multipurpose community centre building at Nehru Path panchayat, PATNA_SAHIB",3175333.77,26-08-2025,15-01-2026,New India Construction Co.,Sanctioned
WS/19681/2025/00090,West Bengal,KANTHI,MEERA IYER,Community Hall,"Multipurpose community centre building at Ambedkar Colony panchayat, KANTHI",3167101.79,07-10-2025,01-08-2026,Bharat Infra Solutions,Ongoing
WS/45665/2025/00117,Kerala,KOTTAYAM,ABHAY KUMAR SINHA,Road Construction,"Widening and strengthening of road near Ambedkar Colony village, KOTTAYAM",1064485.84,12-05-2025,23-05-2026,Shree Balaji Construction Co.,Completed
WS/55919/2023/00707,Bihar,GAYA,AASHTIKAR PATIL NAGESH BAPURAO,School Building Repair,"Repair and renovation of Govt. School building at Nehru Path, GAYA",874572.41,28-11-2023,19-11-2024,Jai Hind Infrastructure,Ongoing
WS/72530/2024/00439,Maharashtra,AURANGABAD_MH,ABU TAHER KHAN,Community Hall,"Multipurpose community centre building at Nehru Path panchayat, AURANGABAD_MH",2216905.62,29-09-2024,02-12-2024,Deep Construction Co.,Sanctioned
WS/48745/2023/00328,Maharashtra,AURANGABAD_MH,PRIYA VERMA,Water Supply / Handpump,"Water supply pipeline extension to Nehru Path area, AURANGABAD_MH",423710.02,22-08-2023,03-11-2023,Progressive Engineers & Contractors,Sanctioned
WS/98185/2025/00547,West Bengal,MURSHIDABAD,ADITYA YADAV,Streetlight Installation,"Installation of streetlights at Andouli chowk, MURSHIDABAD",301832.97,07-03-2025,06-08-2025,New India Construction Co.,Completed
WS/39333/2025/00521,Maharashtra,NAGPUR,ADV GOWAAL KAGADA PADAVI,Water Supply / Handpump,"Water supply pipeline extension to Shanti Nagar area, NAGPUR",651093.03,24-05-2025,18-03-2026,Metro Civil Works Pvt Ltd,Ongoing
WS/91381/2024/00093,Uttar Pradesh,KANPUR,ADV GOWAAL KAGADA PADAVI,Solar Light Installation,"Solar light installation near Nehru Path hanuman mandir, KANPUR",379601.04,12-12-2024,09-08-2025,Ganesh Engineering Works,Ongoing
WS/59326/2025/00395,West Bengal,HOWRAH,RAJESH KUMAR SHARMA,Streetlight Installation,"LED streetlight installation along Gandhi Chowk road, HOWRAH",444001.45,03-08-2025,10-11-2025,United Rural Builders,New Recommendation
WS/64040/2025/00033,Bihar,GAYA,SANJAY DESHMUKH,Streetlight Installation,"LED streetlight installation along Andouli road, GAYA",487264.93,03-11-2025,03-05-2026,National Builders & Contractors,Ongoing
WS/20336/2024/00161,Maharashtra,AURANGABAD_MH,ABU TAHER KHAN,Community Hall,"Multipurpose community centre building at Nehru Path panchayat, AURANGABAD_MH",1911642.7,25-02-2024,18-08-2024,New India Construction Co.,New Recommendation
WS/69682/2025/00501,West Bengal,MURSHIDABAD,ADHIKARI SOUMENDU,Water Supply / Handpump,"Water supply pipeline extension to Kisan Nagar area, MURSHIDABAD",399066.38,05-02-2025,04-02-2026,Jai Hind Infrastructure,Ongoing
WS/96321/2024/00837,Uttar Pradesh,KANPUR,ABHAY KUMAR SINHA,Streetlight Installation,"Installation of streetlights at Ram Nagar chowk, KANPUR",526714.77,03-10-2024,31-10-2025,Om Sai Infra Pvt Ltd,Ongoing
WS/94604/2023/00552,Jammu And Kashmir,SRINAGAR,ABHAY KUMAR SINHA,School Building Repair,"Repair and renovation of Govt. School building at Ambedkar Colony, SRINAGAR",1771190.77,23-10-2023,29-10-2024,Sri Lakshmi Contractors,Ongoing
WS/82459/2023/00779,Jammu And Kashmir,SRINAGAR,RAVI SHANKAR PRASAD JI,Community Hall,"Construction of community hall at Ram Nagar, SRINAGAR",3166642.35,08-06-2023,26-11-2023,Metro Civil Works Pvt Ltd,Sanctioned
WS/97382/2025/00624,Bihar,GAYA,ADV DEAN KURIAKOSE,Solar Light Installation,"Solar street light at Bazaar Road chowk parisar, GAYA",376322.46,19-01-2025,10-10-2025,New India Construction Co.,Sanctioned
